Year,2022,2023,2024,2025,2026
Cashflow from operating activities,,,,,
Cash inflow:,,,,,
Sales of product,"$981,750.00","$1,079,925.00","$1,527,365.00","$1,866,770.00","$2,053,695.00"
Total cash inflow,"$981,750.00","$1,079,925.00","$1,527,365.00","$1,866,770.00","$2,053,695.00"
Cash outflow:,,,,,
Cost of goods sold,"$656,040.00","$524,832.00","$577,315.20","$793,844.92","$960,642.92"
Marketing,"$55,000.00","$60,500.00","$66,550.00","$73,205.00","$80,525.50"
Engineer's salary,"$50,000.00","$55,000.00","$60,500.00","$66,550.00","$73,205.00"
Staff's salary,"$100,000.00","$110,000.00","$201,000.00","$221,100.00","$243,210.00"
Executive salary,$0.00,$0.00,"$150,000.00","$150,000.00","$150,000.00"
Truck renting,"$26,880.00","$29,568.00","$32,524.80","$35,777.28","$39,355.01"
Maintenance cost,"$5,647.50","$5,647.50","$5,647.50","$5,647.50","$5,647.50"
Utility bills,"$84,000.00","$92,400.00","$101,640.00","$111,804.00","$122,984.40"
Building rent,"$30,000.00","$33,000.00","$36,300.00","$39,930.00","$43,923.00"
Total Cash outflow,"$1,007,567.50","$910,947.50","$1,231,477.50","$1,497,858.70","$1,719,493.33"
Total cash inflow or outflow from operating activities,"-$25,817.50","$168,977.50","$295,887.50","$368,911.30","$334,201.67"
,,,,,
Cashflow from Investing activities,,,,,
Cash inflow: -,,,,,
Cash outflow:,,,,,
Sorting Machine,"$6,000.00",$0.00,$0.00,$0.00,$0.00
Industrial oven,"$10,750.00",$0.00,$0.00,$0.00,$0.00
Hydraulic press,"$150,000.00",$0.00,$0.00,$0.00,$0.00
Website,"$21,500.00",$0.00,$0.00,$0.00,$0.00
Total cash inflow or outflow from investing activities,"$188,250.00",$0.00,$0.00,$0.00,$0.00
,,,,,
Cashflow from financing activities,,,,,
Investment,"$250,000.00",$0.00,$0.00,$0.00,$0.00
Initial start-up capital,"$100,000.00",$0.00,$0.00,$0.00,$0.00
Dividens payment,$0.00,$0.00,"$27,221.38","$59,755.26","$69,113.55"
Total cash inflow or outflow from financing activities,"$350,000.00",$0.00,"-$27,221.38","-$59,755.26","-$69,113.55"
,,,,,
Net Increase/decrease in Cash,"$135,932.50","$168,977.50","$268,666.12","$309,156.04","$265,088.12"
Opening cash balance,$0.00,"$135,932.50","$304,910.00","$573,576.12","$882,732.16"
Closing cash balance,"$135,932.50","$304,910.00","$573,576.12","$882,732.16","$1,147,820.28"
