Year,2022,2023,2024,2025,2026
Sales,"$981,750.00","$1,079,925.00","$1,527,365.00","$1,866,770.00","$2,053,695.00"
Cost of goods sold,"$459,228.00","$505,150.80","$714,445.82","$873,207.50","$960,642.92"
,,,,,
Gross Margin,"$522,522.00","$574,774.20","$812,919.18","$993,562.50","$1,093,052.08"
,,,,,
Expenses,,,,,
Marketing,"$55,000.00","$60,500.00","$66,550.00","$73,205.00","$80,525.50"
Engineer's salary,"$50,000.00","$55,000.00","$60,500.00","$66,550.00","$73,205.00"
Executive's salary,$0.00,$0.00,"$150,000.00","$150,000.00","$150,000.00"
Staff's salary,"$100,000.00","$110,000.00","$201,000.00","$221,100.00","$243,210.00"
Truck renting (include driver),"$26,880.00","$29,568.00","$32,524.80","$35,777.28","$39,355.01"
Depreciation expense of sorting machine (@3),"$1,200.00","$1,200.00","$1,200.00","$1,200.00","$1,200.00"
Depreciation expense of oven (@5),"$2,150.00","$2,150.00","$2,150.00","$2,150.00","$2,150.00"
Depreciation expense of hydraulic press machine (@3),"$15,000.00","$15,000.00","$15,000.00","$15,000.00","$15,000.00"
Depreciation expense of website,"$4,300.00","$4,300.00","$4,300.00","$4,300.00","$4,300.00"
Maintenance cost,"$5,647.50","$5,647.50","$5,647.50","$5,647.50","$5,647.50"
"Utility bills (Water, electricity, internet, etc)","$84,000.00","$92,400.00","$101,640.00","$111,804.00","$122,984.40"
Building rent,"$30,000.00","$33,000.00","$36,300.00","$39,930.00","$43,923.00"
Total Expenses,"$374,177.50","$408,765.50","$676,812.30","$726,663.78","$781,500.41"
,,,,,
Net Profit,"$148,344.50","$166,008.70","$136,106.88","$266,898.72","$311,551.67"
